detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
SHITOMASI,14.3195,1759,BRIEF,8.31744,1534,7.14073,14.6756,12.5156,29.7776,0001
SHITOMASI,19.5464,1820,BRIEF,10.5218,1564,7.84592,13.9717,12.6142,37.9142,0002
SHITOMASI,20.1106,1850,BRIEF,15.9355,1621,6.79461,9.73978,14.091,42.8407,0003
SHITOMASI,14.1288,1828,BRIEF,8.87738,1652,7.13774,14.982,16.6894,30.144,0004
SHITOMASI,16.8252,1806,BRIEF,8.62274,1621,7.50016,12.7628,15.9082,32.9481,0005
SHITOMASI,13.7541,1877,BRIEF,8.87467,1582,6.5024,13.2703,12.6787,29.1311,0006
SHITOMASI,19.8004,1894,BRIEF,10.3616,1609,8.04478,15.2664,11.9844,38.2068,0007
SHITOMASI,16.9984,1889,BRIEF,16.9694,1622,9.37667,12.0847,13.1241,43.3444,0008
SHITOMASI,13.4775,1917,BRIEF,8.73837,1621,6.87084,11.8703,13.0241,29.0867,0009
SHITOMASI,13.5854,1874,BRIEF,8.52173,1654,7.43691,12.6285,11.1746,29.5441,0010
SHITOMASI,16.0299,1912,BRIEF,8.91515,1608,7.41653,11.8507,12.8086,32.3616,0011
SHITOMASI,13.8277,1930,BRIEF,8.83333,1657,7.26341,11.7642,8.95978,29.9244,0012
SHITOMASI,14.1506,1881,BRIEF,8.92189,1654,6.05802,11.7197,9.96439,29.1305,0013
SHITOMASI,15.2747,1886,BRIEF,8.62375,1634,7.1452,11.3557,9.59863,31.0437,0014
SHITOMASI,18.7749,1957,BRIEF,9.19364,1640,7.42611,12.1983,8.57352,35.3946,0015
SHITOMASI,16.047,1888,BRIEF,8.85716,1707,7.6857,8.23961,9.51617,32.5898,0016
SHITOMASI,13.5733,1919,BRIEF,9.11021,1646,7.40814,11.1382,9.54658,30.0917,0017
SHITOMASI,17.204,2057,BRIEF,9.93321,1683,7.34809,8.43097,8.3988,34.4853,0018
SHITOMASI,15.6257,1759,ORB,9.4539,1517,6.21126,13.8743,12.5156,31.2909,0001
SHITOMASI,13.4799,1820,ORB,9.41426,1548,6.85749,11.0038,12.6142,29.7517,0002
SHITOMASI,17.5605,1850,ORB,9.46079,1598,6.79129,12.8155,14.091,33.8126,0003
SHITOMASI,13.5278,1828,ORB,9.88829,1628,7.72254,12.4814,16.6894,31.1386,0004
SHITOMASI,15.832,1806,ORB,9.40698,1603,7.65995,12.5187,15.9082,32.8989,0005
SHITOMASI,13.6803,1877,ORB,9.68325,1569,6.45983,13.2198,12.6787,29.8234,0006
SHITOMASI,15.5103,1894,ORB,9.51144,1585,6.85869,13.0506,11.9844,31.8804,0007
SHITOMASI,13.9615,1889,ORB,10.2373,1604,6.70641,11.8822,13.1241,30.9052,0008
SHITOMASI,13.6041,1917,ORB,9.48389,1602,5.94668,11.4134,13.0241,29.0347,0009
SHITOMASI,13.4575,1874,ORB,9.63564,1634,6.76286,13.9512,11.1746,29.856,0010
SHITOMASI,16.3574,1912,ORB,9.75938,1581,7.48672,11.5174,12.8086,33.6035,0011
SHITOMASI,13.7068,1930,ORB,9.5154,1630,6.33969,11.5712,8.95978,29.5619,0012
SHITOMASI,16.3373,1881,ORB,9.45353,1630,13.0078,11.6341,9.96439,38.7987,0013
SHITOMASI,13.6669,1886,ORB,9.42909,1612,6.5604,10.8747,9.59863,29.6564,0014
SHITOMASI,13.5887,1957,ORB,9.63105,1609,5.96059,10.266,8.57352,29.1803,0015
SHITOMASI,13.937,1888,ORB,9.40234,1676,5.91323,8.17853,9.51617,29.2526,0016
SHITOMASI,13.7433,1919,ORB,9.43859,1619,6.87257,9.68906,9.54658,30.0545,0017
SHITOMASI,16.4112,2057,ORB,9.83016,1660,7.48041,8.11259,8.3988,33.7217,0018
SHITOMASI,13.6644,1759,FREAK,61.1261,1563,7.40186,16.3505,12.5156,82.1923,0001
